Device:,Stock Parts BOM,,,,,,,,,,,,
Version:,V1.0.0,,,,,,,,,,,,
Last Updated:,2024-09-03,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,Build Cost,
,,,,,,,,,, $-   , $-   ,,
ID,Commercial Parts,,,,,,,,, $-   , $-   ,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link
,,9V Battery Clip,,Keystone Electronics,Digikey,,1,, $0.75 , $-   ,,,https://www.digikey.ca/en/products/detail/keystone-electronics/232/303804
,,Ribbon Cable,,Assmann WSW Components,Digikey,,1,, $1.80 , $-   ,,,https://www.digikey.ca/en/products/detail/assmann-wsw-components/H3DDS-1006G/1218627
,,Ribbon Cable Header,,Amphenol ICC (FCI),Digikey,,1,, $1.01 , $-   ,,,https://www.digikey.ca/en/products/detail/amphenol-cs-fci/86130101014345E1LF/7592367
,,22k Ohm Resistor,,Stackpole Electronics Inc.,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CF18JT22K0/1741643
,,"3.5mm Stereo Jack, SJ-3566AN",,CUI Devices,Digikey,,1,, $1.97 , $-   ,,,https://www.digikey.ca/en/products/detail/cui-devices/SJ-3566AN/305112 
,,470k Ohm Resistor,,Stackpole Electronics Inc.,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CF18JT470K/1741719
,,5 mm Green LED 3.4V,,Cree LED,Digikey,,1,, $0.46 , $-   ,,,https://www.digikey.ca/en/products/detail/creeled-inc/C5SMF-GJE-CX14Q7T2/4794039
,,60V MOSFET,,Vishay Siliconix,Digikey,,1,, $3.04 , $-   ,,,https://www.digikey.ca/en/products/detail/vishay-siliconix/IRLD014PBF/812481
,,Coin Cell Battery Holder,,MPD (Memory Protection Devices),Digikey,,1,, $1.60 , $-   ,,,https://www.digikey.ca/en/products/detail/mpd-memory-protection-devices/BS-7/389447
,,IC Flip Flop,,Texas Instruments,Digikey,,1,, $1.38 , $-   ,,,https://www.digikey.ca/en/products/detail/texas-instruments/CD74HC73E/1507453
,,M4 Hex Nut,,Small Parts,Amazon,,100,, $13.32 , $-   ,,,https://www.amazon.ca/gp/product/B009EG0QZ0/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,M4 x 16 mm Screw,,Small Parts,Amazon,,100,, $11.43 , $-   ,,,https://www.amazon.ca/gp/product/B000NHYR0Y/ref=ppx_yo_dt_b_asin_title_o09_s02?ie=UTF8&psc=1
,,Adafruit Rotary Trinkey,,Adafruit Industries LLC.,Digikey,,1,, $10.01 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4964/14307384
,,"Screw, M3 x 8 mm, Nylon",,Wurth Elektronik,Digikey,,1,, $0.41 , $-   ,,,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/97790803111/10056388
,,2 AAA Battery Holder,,LampVPath,Amazon,,6,, $15.54 , $-   ,,,https://www.amazon.ca/gp/product/B07CST9HKD/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,1k Ohm Resistor,,"KOA Speer Electronics, Inc.",Mouser,,1,, $0.17 , $-   ,,,https://www.mouser.ca/ProductDetail/KOA-Speer/CFS1-4C102J?qs=9IB2bDhijq9MRkvwLBYZPw%3D%3D
,,3.5 mm Stereo Jack,,Kycon,Mouser,,1,, $1.38 , $-   ,,,https://www.mouser.ca/ProductDetail/806-STX-3120-3B
,,"5 mm Red LED, 5V",,Everlight Electronics Co. Ltd,Digikey,,1,, $0.63 , $-   ,,,https://www.digikey.ca/en/products/detail/kingbright/WP7113ID5V/3084220?s=N4IgTCBcDaIOoAUDsBGFBmAkgEQKwDUACEAXQF8g
,,Momentary Limit Switch,,Uxcell,Amazon,,3,, $19.49 , $-   ,,,https://www.amazon.ca/uxcell%C2%AE-ME-8166-Flexible-Spring-Momentary/dp/B07KM22TZ2
,Alternatives,,,,,,,,,,,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link
,,"3.5 mm Mono Cable, 10ft M/M",,Phantom Cables,Infinite Cables,,1,, $2.00 , $-   ,,,https://www.infinitecables.com/products/3-5mm-mono-male-to-male-cable-riser-rated-cmr-ft4-black?variant=42861048332529
,,7 Position Female Headers,,Molex,Digikey,,1,, $2.35 , $-   ,,,https://www.digikey.ca/en/products/detail/molex/0901471107/3303850?s=N4IgTCBcDaIAQE4AMBGALAdgLQpUjIAugL5A
,,10k Ohm Resistor,,YAGEO,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-10K/338
,,100 Ohm Resistor,,YAGEO,Digikey,,1,, $0.14 , $-   ,,,https://www.digikey.ca/en/products/detail/yageo/MFR-25FBF52-100R/12795 
,,10k Ohm Resistor,,Stackpole Electronics Inc.,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CF18JT10K0/1741566
,,10000pF Capacitor,,Vishay Beyschlag/Draloric/BC Components,Digikey,,1,, $0.46 , $-   ,,,https://www.digikey.ca/en/products/detail/vishay-beyschlag-draloric-bc-components/K103K15X7RH5TL2/286565
,,4.7k Ohm Resistor,,Stackpole Electronics Inc.,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CFM14JT4K70/1742213
,,Mini Analog Thumbstick,,Adafruit Industries LLC.,Mouser,,1,, $3.63 , $-   ,,,https://www.mouser.ca/ProductDetail/Adafruit/2765?qs=A50fv7uxK7XfNN3DwjrKxA%3D%3D&_gl=1*115tqw9*_ga*MzI4MTEyNDIyLjE2OTUzMTcwMjE.*_ga_15W4STQT4T*MTcwNDQ3NDY2Ny42LjEuMTcwNDQ3NDY2OC41OS4wLjA.*_ga_1KQLCYKRX3*MTY5NTY3MjA5Ny4yLjAuMTY5NTY3MjEyMS4zNi4wLjA.
,,100 Ohm Resistor,,KOA Speer,Mouser,,1,, $0.16 , $-   ,,,https://www.mouser.ca/ProductDetail/KOA-Speer/MF1-4LCT52R101J?qs=DG1n8gfZNTsgm1lQXnAQZw%3D%3D
,,10k Ohm Resistor,,KOA Speer,Digikey,,1,, $0.17 , $-   ,,,https://www.digikey.ca/en/products/detail/koa-speer-electronics-inc/MF1-4LCT52R103J/21679944
